ID,Internal_id,germinated,total,non_germinated,rate,Source_name,name,Parents_id,Amplification_round_starting,Admixture_internal,Admixture_as_database,Latitude,Longitude,iso_alpha,Temperature,Data_germination_filtered_for_viability,sequencer,short_name,Collector,Accession_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
9599,2021-0651,104,105,1,0.99047619,A. thaliana,IP-Vin-0,2017-222,9.2021,Spain,western_europe,42.8,-5.77,ESP,20degree_LD,NA,Monsanto,,Carlos Alonso-Blanco,CS78846,9.6,11.1,4,556,25.5,-1.9,27.4,6.3,16.9,16.9,2.7,709,92,34,29,252,123,123,199
9601,2021-0652,49,49,0,1,A. thaliana,IP-Voz-0,2017-208,9.2021,Spain,spain,41.85,-1.88,ESP,20degree_LD,NA,Monsanto,,Carlos Alonso-Blanco,CS78849,11.1,11,3.8,608.1,27.3,-1.3,28.6,13.2,19,19,3.6,539,67,29,22,169,104,117,132
9602,2021-0653,92,92,0,1,A. thaliana,IP-Vpa-1,2017-215,9.2021,Spain,spain,40.5,-3.96,ESP,20degree_LD,NA,Monsanto,,Carlos Alonso-Blanco,CS78850,12.5,10.3,3.5,651.9,29.3,0.3,29,8.3,21,21.2,4.5,457,54,13,33,151,60,61,127
9729,2021-0508,82,83,1,0.987951807,A. thaliana,Stiav-2,2016-967,9.2021,Central Europe,central_europe,48.46,18.9,SVK,20degree_LD,NA,Monsanto,,0,CS77280,7.2,9.7,3.1,740.1,23.1,-7.6,30.7,14.8,-1.2,16.3,-2.8,775,99,46,25,256,141,256,156
9739,2021-0733,76,76,0,1,A. thaliana,Toc-1,2017-265,9.2021,Central Europe,central_europe,46.01,22.33,ROU,20degree_LD,NA,Monsanto,,0,CS77370,9.7,9.7,3.1,756,25.7,-5.1,30.8,17.4,0.8,18.9,-0.5,669,99,37,33,250,116,237,130
9756,2021-0469,54,55,1,0.981818182,A. thaliana,Staro-2,2015-608,9.2021,Central Europe,central_europe,44.3,21.08,SRB,20degree_LD,NA,Monsanto,,0,CS77273,11.2,10.2,3.3,724.8,27.4,-3.3,30.7,18.5,3.1,20.1,1.4,680,83,43,22,229,134,204,147
9776,2021-0524,79,79,0,1,A. thaliana,Fell3-7,2017-082,9.2021,Central Europe,central_europe,48.43,8.79,GER,20degree_LD,NA,Monsanto,Felldorf,0,CS76857,8.7,9,3.3,641.2,23.2,-3.5,26.7,16.8,1.6,16.8,0.3,867,100,56,21,280,171,280,183
9778,2021-0515,85,85,0,1,A. thaliana,Bach-7,2017-083,9.2021,Central Europe,central_europe,48.41,8.84,GER,20degree_LD,NA,Monsanto,Near Starzach Wachendorf,0,CS76679,8.7,9,3.3,641.3,23.2,-3.4,26.6,16.8,1.6,16.8,0.3,833,100,51,23,278,156,278,168
9784,2021-0523,54,55,1,0.981818182,A. thaliana,Erg2-6,2017-107,9.2021,Central Europe,central_europe,48.5,8.8,GER,20degree_LD,NA,Monsanto,Ergenzingen,0,CS76845,8.5,8.9,3.3,641.3,23,-3.5,26.5,16.6,1.4,16.6,0.2,869,100,56,20,278,173,278,186
9795,2021-0597,70,72,2,0.972222222,A. thaliana,Wank-2,2017-110,9.2021,Central Europe,central_europe,48.5,9.11,GER,20degree_LD,NA,Monsanto,Wankheim,0,CS78852,8.7,8.7,3.3,637.3,23,-3.3,26.3,16.7,1.7,16.7,0.4,775,97,45,26,266,139,266,149
9804,2021-0561,66,68,2,0.970588235,A. thaliana,Obe1-15,2017-084,9.2021,Central Europe,central_europe,48.45,8.87,GER,20degree_LD,NA,Monsanto,Obernau,0,CS77139,8.7,9,3.3,641.3,23.2,-3.4,26.6,16.8,1.6,16.8,0.3,833,100,51,23,278,156,278,168
9807,2021-0564,75,75,0,1,A. thaliana,Schl-7,2017-113,9.2021,Central Europe,central_europe,48.6,9.22,GER,20degree_LD,NA,Monsanto,Schlaitdorf,0,CS77240,8.8,8.7,3.3,642.6,23.1,-3.2,26.3,16.9,1.7,16.9,0.4,735,95,41,29,259,127,259,135
9811,2021-0451,68,68,0,1,A. thaliana,Tu-NK-12,2015-617,9.2021,Central Europe,central_europe,48.52,9.05,GER,20degree_LD,NA,Monsanto,Tubingen (central),0,CS77395,8.7,8.7,3.3,637.3,23,-3.3,26.3,16.7,1.7,16.7,0.4,775,97,45,26,266,139,266,149
9819,2021-0452,69,70,1,0.985714286,A. thaliana,IP-Amu-0,2015-618,9.2021,Spain,spain,42.35,-3.03,ESP,20degree_LD,NA,Monsanto,Amunartia,Carlos Alonso-Blanco,CS76664,10.4,9.8,3.8,553,25.2,-0.3,25.5,7.2,17.8,17.8,3.7,661,69,34,19,193,125,125,178
9820,2021-0683,58,59,1,0.983050847,A. thaliana,IP-Are-0,2017-303,9.2021,Spain,spain,41,-4.71,ESP,20degree_LD,NA,Monsanto,Arevalo,Carlos Alonso-Blanco,CS76671,12,11.1,3.8,619.6,28.9,-0.2,29.1,14.1,20.1,20.3,4.4,386,49,12,32,122,57,61,96
9821,2021-0685,98,98,0,1,A. thaliana,IP-Aru-0,2017-304,9.2021,Spain,spain,41.81,2.49,ESP,20degree_LD,NA,Monsanto,Arbúcies,Xavier Picó,CS76674,12.6,7.1,3.1,541.8,25,2.6,22.4,17.4,6.2,19.8,6.2,839,98,47,20,253,173,202,173
9822,2021-0686,134,134,0,1,A. thaliana,IP-Aul-0,2017-305,9.2021,Spain,spain,40.52,-4.02,ESP,20degree_LD,NA,Monsanto,Aulencia,Carlos Alonso-Blanco,CS76675,11.9,10.4,3.5,645.8,28.8,-0.3,29.1,7.8,20.4,20.6,4.1,452,53,14,32,144,63,66,117
9824,2021-0480,58,58,0,1,A. thaliana,IP-Bes-5,2016-175,9.2021,Spain,admixed,42.91,-4.91,ESP,20degree_LD,NA,Monsanto,Besande,Carlos Alonso-Blanco,CS76702,8.1,10.1,3.9,516.5,22.8,-2.6,25.4,5.5,15,15,1.8,845,102,44,23,277,156,156,228
9825,2021-0688,60,61,1,0.983606557,A. thaliana,IP-Boa-0,2017-306,9.2021,Spain,spain,40.4,-3.88,ESP,20degree_LD,NA,Monsanto,Boadilla del Monte,Carlos Alonso-Blanco,CS76714,13.7,10.4,3.5,660.5,30.8,1.3,29.5,9.5,22.5,22.5,5.6,429,52,11,36,146,51,51,126
9826,2021-0689,59,59,0,1,A. thaliana,IP-Bor-0,2017-307,9.2021,Spain,western_europe,42.49,-6.71,ESP,20degree_LD,NA,Monsanto,Borrenes,Carlos Alonso-Blanco,CS76717,10.4,10.2,3.8,552.7,25.5,-0.7,26.2,4.2,17.8,17.8,3.7,841,110,24,39,314,99,99,298
9833,2021-0768,66,66,0,1,A. thaliana,IP-Cha-0,2015-395,9.2021,Western Europe,spain,40.38,-4.21,ESP,20degree_LD,NA,Monsanto,Chapinería,Carlos Alonso-Blanco,CS76764,13.1,10.6,3.5,652.2,30.3,0.6,29.7,8.9,21.6,21.9,5.1,401,48,11,34,130,53,54,104
9834,2021-0692,64,64,0,1,A. thaliana,IP-Cho-0,2017-309,9.2021,Spain,spain,40.51,-3.9,ESP,20degree_LD,NA,Monsanto,La Chopera de las Rozas,Carlos Alonso-Blanco,CS76768,12.5,10.3,3.5,651.9,29.3,0.3,29,8.3,21,21.2,4.5,457,54,13,33,151,60,61,127
9835,2021-0693,52,52,0,1,A. thaliana,IP-Cir-0,2017-310,9.2021,Spain,admixed,40.61,-6.57,ESP,20degree_LD,NA,Monsanto,Ciudad Rodrigo,Carlos Alonso-Blanco,CS76772,13,10.2,3.6,611,29.2,1.6,27.6,6.3,21.2,21.2,5.6,700,92,9,48,269,55,55,260
9836,2021-0769,69,69,0,1,A. thaliana,IP-Cod-0,2015-016,9.2021,Sweden,spain,41.25,-1.32,ESP,20degree_LD,NA,Monsanto,Codos,Carlos Alonso-Blanco,CS76777,10.9,10.1,3.7,609.1,25.6,-1.6,27.2,13.1,4.3,18.8,3.3,438,66,23,34,159,79,111,82
9838,2021-0695,57,57,0,1,A. thaliana,IP-Cot-0,2017-312,9.2021,Spain,admixed,41.83,-5.38,ESP,20degree_LD,NA,Monsanto,Cotanes del Monte,Carlos Alonso-Blanco,CS76784,12.1,11.7,3.9,603.9,29.2,-0.1,29.3,8.3,19.8,20.1,4.5,392,47,14,31,133,59,61,106
9839,2021-0454,83,83,0,1,A. thaliana,IP-Coy-0,2015-631,9.2021,Spain,admixed,40.44,-4.27,ESP,20degree_LD,NA,Monsanto,Colmenar del Arroyo,Carlos Alonso-Blanco,CS76785,13.1,10.6,3.5,652.2,30.3,0.6,29.7,8.9,21.6,21.9,5.1,401,48,11,34,130,53,54,104
9840,2021-0439,76,76,0,1,A. thaliana,IP-Dar-0,2016-463,9.2021,Spain,spain,41.13,-1.43,ESP,20degree_LD,NA,Monsanto,Daroca,Carlos Alonso-Blanco,CS76792,10.5,10.1,3.6,609.9,25.1,-2.2,27.3,12.8,3.9,18.5,2.9,443,67,22,36,163,77,114,81
9841,2021-0696,85,86,1,0.988372093,A. thaliana,IP-Ees-0,2017-313,9.2021,Spain,spain,40.59,-4.15,ESP,20degree_LD,NA,Monsanto,San Lorenzo del Escorial,Carlos Alonso-Blanco,CS76836,11.9,10.4,3.5,645.8,28.8,-0.3,29.1,7.8,20.4,20.6,4.1,452,53,14,32,144,63,66,117
9843,2021-0697,79,79,0,1,A. thaliana,IP-Elp-0,2017-314,9.2021,Spain,spain,40.53,-3.92,ESP,20degree_LD,NA,Monsanto,El Pinar de las Rozas,Carlos Alonso-Blanco,CS76840,12.5,10.3,3.5,651.9,29.3,0.3,29,8.3,21,21.2,4.5,457,54,13,33,151,60,61,127
9844,2021-0698,94,94,0,1,A. thaliana,IP-Esn-2,2017-315,9.2021,Spain,spain,42.27,0.19,ESP,20degree_LD,NA,Monsanto,Escanilla,Carlos Alonso-Blanco,CS76846,10.8,10.1,3.7,578.1,25.5,-1.1,26.6,12.9,3.5,18.3,3.5,688,78,40,18,207,140,166,140
9845,2021-0699,96,97,1,0.989690722,A. thaliana,IP-Evs-0,2017-316,9.2021,Spain,spain,40.48,-3.96,ESP,20degree_LD,NA,Monsanto,Ermita Virgen del Soto,Carlos Alonso-Blanco,CS76848,13.7,10.4,3.5,660.5,30.8,1.3,29.5,9.5,22.5,22.5,5.6,429,52,11,36,146,51,51,126
